error.cart_product_not_available;{{replace}} is currently not available and has been removed from the shopping bag
error.cart_product_not_exists;{{replace}} The chosen product/s do not exist anymore and, thus, have been removed from your Shopping Bag
label.packing_list_title;###lable.shipping_document### no. {NUM}
action.abort;Abort
action.use_coupon;Apply coupon
shop.order_status_CA;cancelled
shop.order_status_CL;closed
action.logout;Sign Out
label.edit_address;Edit address
label.new_address;New address
simpleshop.account_area_account;Account
label.address;Address
action.add_address;Add Address
label.email__user_registration_subject;You have successfully registered
simpleshop.account_area_addresses;Addresses
label.no_address_available;No address available
error.choose_shipping_address;Please select a shipping address
label.no_permission;You have no access authorization for this area
label.address_additional;Address add-on
label.email__user_password_reset;Password reset
label.all;All
label.province;Province
label.customer_type;I'm a...
label.use_existing_addredss;Use existing address
label.redirect_to_plugin_payment_page;You are now directed to the payment interface of {NAME}
error.token_already_used_for_transaction;The payment has already been made in another transaction
label.order_placed_but_pending;The order has been successfully created and is still waiting for payment to be completed.
action.create_new_shipping_address;Create new shipping address
label.order_history_is_empty;Your order history is currently still empty
label.applied;applied
action.login;LOG IN
error.login_failed;Log in failed
action.add_to_wishlist;add to wishlist
label.bank_transfer ;Bank Transfer
action.edit;edit
label.description;Description
label.order_date;Order date
label.order_num;Order no.
label.order;Order
label.order_placed;Order completed
label.email__order_complete;Order completed
simpleshop.account_area_orders;Orders
label.credit_note_reference_info;
error.field.empty;Please complete the field '{{fieldname}}'
error.insert_company_name;Please enter company name
error.insert_lastname;Please enter last name
error.insert_firstname;Please enter first name
error.insert_email;Please enter email address
error.insert_location;Please enter location
error.insert_postal;Please enter postcode
error.insert_street;Please enter street name
error.email_not_valid;Please enter a valid email address
error.field.email_not_valid;Please enter a valid email address
error.field.vat_not_valid;Please enter a valid VAT identification number
error.field.fiscal_code_not_valid;Please enter a valid tax ID
error.field.checkbox_not_set;Please place a check mark on '{{fieldname}}'
label.banktransfer_order_complete_text;"Please transfer the total amount of {{total}} to the following bank account with reference: ""Order {{order_id}}"". As soon as the transfer will be completed, your order is going to be processed.

Südtiroler Volksbank
IBAN: IT06 D058 5611 6010 5057 1362 397
SWIFT-BIC: BPAAIT2B050"
error.field.no_option_selected;Please select an option - '{{fieldname}}'
label.shipping_document;Bill of delivery
label.insert_coupon;Insert coupon code
error.password_policy;The password must be at least 8 characters long including both 1 letter and 1 number at least
label.date;Date
label.add_to_cart_success;The article has been successfully added to your shopping bag
label.payment_cancelled;The payment process was aborted
label.details;Details
label.order_complete_default_shipping_text;The items will be sent as soon as possible
error.email_already_exists;This email address is already in use
error.coupon_not_exists;This coupon-code does not exist
error.coupon_not_valid_anymore;This coupon-code has expired
label.email;E-mail
label.units;
label.single_price;Single price
error.shipping_zipcode_not_valid;The postal code is invalid
label.single_price_no_vat;Single price (VAT excl.)
error.order_has_no_product;There are no articles in the shopping bag
error.shipping_no_price;There is no shipping-price for this order. Please contact us directly.
label.omest_orderslist_sent_subject;Es wurden {COUNT} Bestellungen an OMEST gesendet
label.omest_shipping_ex;Express
simpleshop.omest_shipping;Express shipping
shop.order_status_FA;failed
label.company;Company
label.company_name;Company Name
label.total;Total
label.total_sum;Total
label.coupon;Coupon
label.redeem_coupon;Redeem your coupon
error.coupon_not_yet_valid;This coupon-code is not active, yet
error.coupon_consumed;This coupon-code has already been used
label.credit_note;Credit note
label.email__registration_text;Congratulations! You have successfully signed up to ###company.name### and can now access using the following login data:
privacy.accept_tos;I accept the {{tos-link}}Terms & Conditions {{tos-link}}.
label.cancellation_terms;I agree with the {{cancellation-terms-link}}cancellation terms{{cancellation-terms-link}}.
label.email__password_reset_text;Your password has been reset. You can sign in with the following login data now.
simpleshop.your_order_num;Your order
label.email__creditnote_text;Please find the credit note attached
shop.order_status_IP;processing
action.add_to_cart;Add To Shopping Bag
action.place_order;Buy Now
action.register;REGISTER
label.no_products_in_cart;There are no articles in the shopping bag
label.code;Code
label.account_data;Account data
label.nexi_credit_card ;Credit Card
label.country;Country
label.omest_orderslist_sent;"Dear customer. The following orders have been placed,

The following orders have been sent to OMEST and will be shipped at the next opportunity:

{ORDERS}"
label.shipment_payment;Shipment & Payment
label.amount;Quantity
label.tax;VAT
label.tax_included;incl. VAT
label.vat_short;VAT
label.lastname;Last Name
label.name;Name
label.location;City
label.password;Password
label.password_forgotten;Forgot your password?
label.paypal_express;Paypal
label.postal;ZIP
label.position_short;Pos.
label.price;Price
label.private_person;Individual
label.product;Product
label.product_not_available;Product not in stock
label.promotions;Promotions
label.discount;Discount
error.discountgroup_not_applyable_anymore;The promotional discount-offer has changed
label.invoice;Invoice
label.invoice_address;Billing Address
label.pwd_recovery_info_text;Enter your email address and we will send you a new password.
label.invoice_num;Invoice nr.
label.registration_info_text;Register your personal account.
simpleshop.account_area_rma;RMA
simpleshop.shipping_pickup_point;Collection by the Customer
label.shipping_number;Shipment number
label.login_info_text;Already have an account? login here.
label.registration_sucessfull;Your have successfully registered. You may continue/start your shopping tour
label.applied_promotion_text;These are your promotions:
error.tos_rma_not_accepted;You are required to accept the terms & conditions and the cancellation terms
label.order_complete_pickup_text;We will inform you as soon as the items are ready to be picked up.

Business hours:
Monday - Thursday from 8:00 to 17:00
Friday from 8:00 to 14:00 (later possible by request)"
label.are_required_fields;are required fields
action.save;Save
label.omest_shipping_ec;Standard / Economy
label.shipping_default;Standard Shipping
label.status;Status
label.gross_total;Tax Basis
label.fiscal_code;Tax ID (Italian customers only)
label.street;Street
label.overview;
label.keep_password_notice;Skip this field if you wish to proceed with the old password
label.shipping_address;Shipping Address
label.shipping_address_is_idem;The shipping address is the same as the billing address
label.shipping_method;Shipping Method
label.shipping_costs;Shipping Costs
shop.order_status_SH;shipped
label.email__order_complete_text;Thank you, we have successfully received your order.
error.cart_product_not_enough_amount;"There is only {{count}} pieces of ""{{replace}}"" left, hence we have reduced the number of articles in your shopping bag."
label.firstname;Firstname
shop.order_status_OP;waiting for payment
